COURSE,PREREQ1,CO/PRE,AND/OR,PREREQ2,CO/PRE,AND/OR,PREREQ3,CO/PRE,AND/OR,PREREQ4,CO/PRE
ECE F211,EEE F111,PRE,, ,,, ,,, ,
ECE F212, ,,, ,,, ,,, ,
ECE F214,EEE F111,PRE,, ,,, ,,, ,
ECE F215, ,,, ,,, ,,, ,
ECE F216,EEE F214,PRE,OR,INSTR F214,PRE,OR,ECE F214,PRE,, ,
ECE F241, ,,, ,,, ,,, ,
ECE F242, ,,, ,,, ,,, ,
ECE F243, ,,, ,,, ,,, ,
ECE F244, ,,, ,,, ,,, ,
ECE F311,ECE F243,PRE,, ,,, ,,, ,
ECE F312,EEE F212,CO/PRE,OR,ECE F212,CO/PRE,OR,INSTR F212,CO/PRE,, ,
ECE F314, ,,, ,,, ,,, ,
ECE F341,ECE F244,PRE,, ,,, ,,, ,
ECE F344,EEE F243,PRE,, ,,, ,,, ,
ECE F414, ,,, ,,, ,,, ,
ECE F416, ,,, ,,, ,,, ,
ECE F418,ECE F243,PRE,, ,,, ,,, ,
ECE F423,EEE F214,PRE,OR,INSTR F214,PRE,OR,ECE F214,PRE,, ,
ECE F424,EEE F242,PRE,OR,INSTR F242,PRE,OR,ECE F242,PRE,, ,
ECE F431,ECE F243,PRE,, ,,, ,,, ,
ECE F434,ECE F243,PRE,, ,,, ,,, ,
ECE F472,ECE F243,PRE,, ,,, ,,, ,
ECON F211, ,,, ,,, ,,, ,
ECON F212, ,,, ,,, ,,, ,
ECON F213, ,,, ,,, ,,, ,
ECON F214, ,,, ,,, ,,, ,
ECON F241, ,,, ,,, ,,, ,
ECON F242,ECON F211,PRE,, ,,, ,,, ,
ECON F243,ECON F211,PRE,, ,,, ,,, ,
ECON F244,ECON F211,PRE,, ,,, ,,, ,
ECON F311,ECON F211,PRE,, ,,, ,,, ,
ECON F312,ECON F211,PRE,, ,,, ,,, ,
ECON F313,ECON F211,PRE,, ,,, ,,, ,
ECON F341,ECON F211,PRE,, ,,, ,,, ,
ECON F342,ECON F241,PRE,, ,,, ,,, ,
ECON F343, ,,, ,,, ,,, ,
ECON F344, ,,, ,,, ,,, ,
ECON F345, ,,, ,,, ,,, ,
ECON F351, ,,, ,,, ,,, ,
ECON F352, ,,, ,,, ,,, ,
ECON F353, ,,, ,,, ,,, ,
ECON F354, ,,, ,,, ,,, ,
ECON F355, ,,, ,,, ,,, ,
ECON F356, ,,, ,,, ,,, ,
ECON F357, ,,, ,,, ,,, ,
ECON F411, ,,, ,,, ,,, ,
ECON F412, ,,, ,,, ,,, ,
ECON F413,ECON F354,PRE,, ,,, ,,, ,
ECON F414, ,,, ,,, ,,, ,
ECON F415, ,,, ,,, ,,, ,
ECON F416, ,,, ,,, ,,, ,
ECON F418, ,,, ,,, ,,, ,
ECON F419,ECON F242,PRE,, ,,, ,,, ,
ECON F422, ,,, ,,, ,,, ,
ECON F471, ,,, ,,, ,,, ,
EEE F111, ,,, ,,, ,,, ,
EEE F211,EEE F111,PRE,, ,,, ,,, ,
EEE F212, ,,, ,,, ,,, ,
EEE F214,EEE F111,PRE,, ,,, ,,, ,
EEE F215, ,,, ,,, ,,, ,
EEE F216,EEE F214,PRE,OR,INSTR F214,PRE,OR,ECE F214,PRE,, ,
EEE F241, ,,, ,,, ,,, ,
EEE F242, ,,, ,,, ,,, ,
EEE F243, ,,, ,,, ,,, ,
EEE F244, ,,, ,,, ,,, ,
